id_transaksi,tanggal,total,diskon,no_cc,id_kasir,id_pramuniaga,kassa,infaq,id_barang,qty,disc_item
13511210091,2012-10-25,117900,0,,242,222,1,100,0411200223,1,0
13511217581,2012-10-25,42900,0,,242,213,1,0,0011201240,1,0
13511259881,2012-10-25,244800,0,,242,215,1,200,0011201258,1,0
13511259881,2012-10-25,244800,0,,242,215,1,200,0091200330,1,0
13511259881,2012-10-25,244800,0,,242,215,1,200,8881200159,1,0
13511298251,2012-10-25,84900,0,,242,219,1,0,0171200506,1,0
13511301391,2012-10-25,6000,0,,242,206,1,0,0181200638,-1,0
13511301391,2012-10-25,6000,0,,242,206,1,0,0721202563,1,0
13511326851,2012-10-25,119800,0,,242,222,1,200,0061200298,1,0
13511326851,2012-10-25,119800,0,,242,222,1,200,0511200121,1,0
13511329881,2012-10-25,49900,0,,242,216,1,100,0111200037,1,0
13511340011,2012-10-25,70900,0,,242,181,1,100,0131201002,1,0
13511340011,2012-10-25,70900,0,,242,181,1,100,0801200045,1,0
13511348061,2012-10-25,39900,0,,242,204,1,100,0151200020,1,0
13511348421,2012-10-25,373200,0,,242,139,1,0,0121200305,1,0
13511348421,2012-10-25,373200,0,,242,139,1,0,0151100225,1,0
13511348421,2012-10-25,373200,0,,242,139,1,0,0481200041,5,0
13511348421,2012-10-25,373200,0,,242,139,1,0,0721202465,1,0
13511348421,2012-10-25,373200,0,,242,139,1,0,0801200044,2,0
13511348421,2012-10-25,373200,0,,242,139,1,0,0801200047,1,0
13511350511,2012-10-25,265800,0,,242,181,1,200,0061200294,1,0
13511350511,2012-10-25,265800,0,,242,181,1,200,0421200659,1,0
13511350511,2012-10-25,265800,0,,242,181,1,200,8881200159,1,0
13511356021,2012-10-25,417600,0,,242,206,1,400,0011201031,1,0
13511356021,2012-10-25,417600,0,,242,206,1,400,0071100523,1,0
13511356021,2012-10-25,417600,0,,242,206,1,400,0151200324,1,0
13511356021,2012-10-25,417600,0,,242,206,1,400,0731203195,1,0
13511357371,2012-10-25,233700,0,,242,219,1,300,0151100224,1,0
13511357371,2012-10-25,233700,0,,242,219,1,300,0171100921,1,0
13511357371,2012-10-25,233700,0,,242,219,1,300,0181200854,1,0
13511357371,2012-10-25,233700,0,,242,219,1,300,8881200159,1,0
13511358791,2012-10-25,101800,0,,242,229,1,200,0141200874,1,0
13511358791,2012-10-25,101800,0,,242,229,1,200,0731203321,1,0
13511360001,2012-10-25,0,0,,242,206,1,0,8881200159,2,0
13511360221,2012-10-25,117900,0,,242,204,1,100,0051200154,1,0
13511361811,2012-10-25,39900,0,,242,206,1,100,0151200277,1,0
13511363221,2012-10-25,107900,0,,242,216,1,100,0131201281,1,0
13511363221,2012-10-25,107900,0,,242,216,1,100,0181200858,1,0
13511363221,2012-10-25,107900,0,,242,216,1,100,0691201597,-1,0
13511363421,2012-10-25,147600,0,,242,213,1,400,0141200860,1,0
13511363421,2012-10-25,147600,0,,242,213,1,400,0141200876,2,0
13511363421,2012-10-25,147600,0,,242,213,1,400,0731201447,1,0
13511363421,2012-10-25,147600,0,,242,213,1,400,0801200047,1,0
13511389911,2012-10-25,177700,0,,242,218,1,300,0151200199,1,0
13511389911,2012-10-25,177700,0,,242,218,1,300,0151200307,1,0
13511389911,2012-10-25,177700,0,,242,218,1,300,0301200251,1,0
13511390541,2012-10-25,42400,0,,242,035,1,100,0391200006,1,0
13511390541,2012-10-25,42400,0,,242,035,1,100,0481200041,1,0
13511390541,2012-10-25,42400,0,,242,035,1,100,0531200307,1,0
13511392921,2012-10-25,54700,0,,242,139,1,0,0141200816,1,0
13511392921,2012-10-25,54700,0,,242,139,1,0,0141200848,1,0
13511392921,2012-10-25,54700,0,,242,139,1,0,0141200855,1,0
13511395931,2012-10-25,0,0,,242,213,1,0,0031200483,-1,0
13511395931,2012-10-25,0,0,,242,213,1,0,0031200540,1,0
13511395961,2012-10-25,57500,0,,242,035,1,500,0531200299,1,0
13511406401,2012-10-25,69900,0,,242,218,1,100,0731203280,1,0
13511406841,2012-10-25,25000,0,,242,229,1,0,0801200044,1,0
13511408981,2012-10-25,137800,0,,242,139,1,200,0061200284,1,0
13511408981,2012-10-25,137800,0,,242,139,1,200,0131200926,1,0
13511414061,2012-10-25,300100,0,,242,222,1,0,0131200610,1,0
13511414061,2012-10-25,300100,0,,242,222,1,0,0141200840,1,0
13511414061,2012-10-25,300100,0,,242,222,1,0,0141200844,1,0
13511414061,2012-10-25,300100,0,,242,222,1,0,0141200873,1,0
13511414061,2012-10-25,300100,0,,242,222,1,0,0151200240,1,0
13511414061,2012-10-25,300100,0,,242,222,1,0,0531200307,1,0
13511414061,2012-10-25,300100,0,,242,222,1,0,0621200074,1,0
13511414061,2012-10-25,300100,0,,242,222,1,0,0621200094,1,0
13511414061,2012-10-25,300100,0,,242,222,1,0,0631200258,1,0
13511414061,2012-10-25,300100,0,,242,222,1,0,0691101493,1,0
13511414061,2012-10-25,300100,0,,242,222,1,0,8881200219,1,0
13511417431,2012-10-25,45900,0,,242,222,1,100,0631200442,1,0
13511421871,2012-10-25,71900,10,,242,206,1,100,0121200333,1,0
13511422401,2012-10-25,157900,0,,242,204,1,100,0421100682,1,0
13511424951,2012-10-25,5300,10,,242,104,1,200,0481200041,1,0
13511430111,2012-10-25,83600,10,,242,181,1,0,0731203397,1,0
13511430641,2012-10-25,9500,0,,242,229,1,0,0251200116,1,0
13511430911,2012-10-25,9500,0,,242,219,1,0,0251200115,1,0
13511431131,2012-10-25,79900,0,,242,219,1,0,0731203422,1,0
